제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
메르세데스벤츠코리아(주),S 400 d 4MATIC,2021-07-09,2021-07-09,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),S 350 d,2020-11-24,2021-08-17,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
메르세데스벤츠코리아(주),C 300,2021-03-26,2021-03-26,2022-02-04,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
혼다코리아(주),PILOT,2015-08-21,2019-04-09,2022-02-07,후드걸쇠장치의 강성 부족으로 인한 파손으로 주행 중 후드가 열려 안전에 영향을 끼칠 가능성이 있음.
폭스바겐그룹코리아 주식회사,SQ5 TFSI,2017-03-07,2021-11-30,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,SQ5 TDI,2020-03-18,2020-03-21,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,SQ5 Sportback TFSI qu.,2021-08-05,2021-12-03,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 Sportback 45 TFSI qu.,2021-06-03,2021-11-29,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 Sportback 40 TDI qu.,2021-05-15,2021-11-30,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 50 TDI qu.,2020-02-28,2020-03-21,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu.,2017-07-31,2021-10-25,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu.,2020-02-05,2021-12-02,2022-02-07,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
메르세데스벤츠코리아(주),S 400 d 4MATIC,2020-11-10,2021-03-04,2022-02-11,"해당 모델의 뒤 브레이크 패드는 유럽(ECE) 사양으로 인증되었으나, 미국 사양으로 인증된 브레이크 패드로 잘못 장착되었을 수 있습니다."
메르세데스벤츠코리아(주),CLS 400 d 4MATIC,2018-03-05,2018-05-30,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,2019-11-06,2021-10-19,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLC 220 d 4MATIC Coupe,2019-11-13,2021-10-18,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),C 220 d 4MATIC,2019-11-21,2021-04-19,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLS 400 d 4MATIC,2020-02-17,2021-10-11,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC Coupe,2020-02-13,2021-09-30,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2019-02-04,2021-10-13,2022-02-11,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2021-04-06,2021-05-29,2022-02-11,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 580 4MATIC,2020-10-16,2021-05-28,2022-02-11,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 500 4MATIC,2020-07-21,2021-05-28,2022-02-11,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 400 d 4MATIC,2020-11-10,2021-01-19,2022-02-11,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 350 d,2020-07-15,2021-05-06,2022-02-11,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
현대자동차(주),쏘나타 하이브리드 (LF HEV),2016-04-12,2017-05-08,2022-02-11,리콜 조치 이후 일부 차량에서 쏘나타 하이브리드 (LF HEV) 17MY KSDS 진단 로직 오류로 인해 엔진 진동 이상 발생시 고장 진단을 못하여 엔진 내부의 일부 부품 마모 등 손상으로 인해 지속 운행시 시동 꺼짐 및 화재 발생 가능성
비엠더블유코리아(주),X4 xDrive20d xLine,2018-06-15,2019-03-22,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),X3 xDrive20d M Sport Package,2017-09-04,2019-03-23,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,2016-05-23,2018-06-14,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,2015-11-10,2015-11-10,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,2014-06-13,2016-10-27,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,2016-09-13,2018-06-14,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,2016-02-01,2016-02-01,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,2014-06-10,2016-10-25,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Gran Coupe,2017-04-06,2020-08-28,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Gran Coupe,2015-03-25,2017-02-24,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Coupe,2015-03-16,2017-01-24,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Touring,2015-07-17,2016-12-01,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo xDrive,2016-06-20,2020-07-31,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo,2015-06-17,2016-06-24,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo,2016-06-20,2020-07-31,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d EfficientDynamics Edition,2015-07-06,2017-12-04,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d,2015-07-02,2018-09-17,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),220d Coupe,2014-10-16,2015-02-25,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),120d,2015-03-13,2015-04-15,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),118d,2015-03-02,2019-06-24,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d xDrive,2015-07-25,2018-03-28,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d xDrive Gran Turismo,2015-07-17,2016-06-27,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Coupe,2015-02-27,2017-01-26,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Coupe,2017-03-02,2020-05-20,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Gran Coupe,2015-02-13,2017-01-31,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Gran Coupe,2017-03-03,2020-08-25,2022-02-16,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
포르쉐코리아 주식회사,카이엔 쿠페,2020-09-17,2020-10-31,2022-02-16,"뒤 차축 트레일링 암*의 너트를 교체하는 시정조치 AMA9 수행 시 뒤 차축 휠 얼라인먼트** 작업이 포함되지 않아 휠 얼라인먼트 값이 변경될 수 있습니다. *트레일링 암: 주행 시 현가장치에서 발생되는 비틀림을 흡수하여 복원력을 발생 시키기 위해, 한 쪽은 차체에 다른 한 쪽은 현가 장치에 연결되어 설치한 암 **휠 얼라인먼트 : 자동차의 바퀴의 위치, 방향 및 상호 밸런스 등을 올바르게 유지하는 정렬 상태, 혹은 이것을 하는 작업."
포르쉐코리아 주식회사,카이엔,2020-09-16,2020-10-22,2022-02-16,"뒤 차축 트레일링 암*의 너트를 교체하는 시정조치 AMA9 수행 시 뒤 차축 휠 얼라인먼트** 작업이 포함되지 않아 휠 얼라인먼트 값이 변경될 수 있습니다. *트레일링 암: 주행 시 현가장치에서 발생되는 비틀림을 흡수하여 복원력을 발생 시키기 위해, 한 쪽은 차체에 다른 한 쪽은 현가 장치에 연결되어 설치한 암 **휠 얼라인먼트 : 자동차의 바퀴의 위치, 방향 및 상호 밸런스 등을 올바르게 유지하는 정렬 상태, 혹은 이것을 하는 작업."
